,Oil_Price,year,price_diff,value,Natural_Gas_Value,Oil_Price_Diff,Natural_Gas_Rolling
3,50.3,2009.0,0.0799999999999983,12.667,12.667,9.039670496423136,12.7825
4,50.3,2009.0,0.0799999999999983,13.3755,13.3755,0.0,12.883333333333333
5,68.11,2009.0,-1.6400000000000006,14.489,14.489,35.407554671968185,13.5105
6,70.08,2009.0,1.2600000000000051,15.120500000000002,15.120500000000002,2.892379973572168,14.328333333333331
7,69.02,2009.0,-3.780000000000001,14.9005,14.9005,-1.512557077625576,14.836666666666668
8,65.82,2009.0,1.1899999999999975,14.484,14.484,-4.636337293538107,14.835
9,65.82,2009.0,1.1899999999999975,12.524,12.524,0.0,13.969500000000002
10,77.77,2009.0,1.769999999999996,12.076,12.076,18.155575812822853,13.028
11,77.91,2009.0,0.289999999999992,11.491499999999998,11.491499999999998,0.1800180018001862,12.030499999999998
12,77.91,2009.0,0.289999999999992,11.582,11.582,0.0,11.716499999999998
13,77.91,2009.0,0.289999999999992,11.518,11.518,0.0,11.530499999999998
14,80.37,2010.0,0.9100000000000108,11.7695,11.7695,3.1574894108586937,11.623166666666668
15,86.19,2010.0,-0.6299999999999955,12.5505,12.5505,7.241508025382592,11.945999999999998
16,86.19,2010.0,-0.6299999999999955,13.41,13.41,0.0,12.576666666666666
17,74.94,2010.0,0.730000000000004,14.8375,14.8375,-13.052558301427077,13.599333333333334
18,74.94,2010.0,0.730000000000004,15.5635,15.5635,0.0,14.603666666666667
19,75.51,2010.0,-0.539999999999992,15.764,15.764,0.7606084867894491,15.388333333333334
20,80.77,2010.0,1.9799999999999895,14.866,14.866,6.965964772877742,15.397833333333333
21,80.77,2010.0,1.9799999999999895,12.8975,12.8975,0.0,14.509166666666664
22,86.02,2010.0,0.1199999999999903,11.3495,11.3495,6.499938095827651,13.037666666666668
23,93.23,2010.0,0.730000000000004,10.531,10.531,8.381771681004423,11.592666666666666
24,98.97,2011.0,1.9099999999999968,10.744,10.744,6.156816475383464,10.874833333333331
25,112.27,2011.0,0.7999999999999972,11.135,11.135,13.438415681519643,10.803333333333333
26,116.94,2011.0,1.5900000000000034,11.0995,11.0995,4.159615213325019,10.992833333333335
27,116.94,2011.0,1.5900000000000034,11.7635,11.7635,0.0,11.332666666666668
28,117.18,2011.0,2.3300000000000125,13.3025,13.3025,0.2052334530528554,12.055166666666668
29,111.71,2011.0,0.2199999999999988,14.754,14.754,-4.668032087386942,13.273333333333332
30,111.71,2011.0,0.2199999999999988,15.32,15.32,0.0,14.458833333333333
31,116.48,2011.0,0.8900000000000006,15.3685,15.3685,4.269984782024894,15.1475
32,105.42,2011.0,-1.6599999999999966,14.815,14.815,-9.495192307692314,15.167833333333334
33,108.43,2011.0,-1.5799999999999983,12.474,12.474,2.8552456839309404,14.219166666666666
34,111.22,2011.0,-0.0300000000000011,11.395,11.395,2.573088628608322,12.894666666666668
35,111.22,2011.0,-0.0300000000000011,10.7355,10.7355,0.0,11.534833333333331
36,110.26,2012.0,0.0200000000000102,10.43,10.43,-0.8631541089731964,10.853500000000002
37,122.23,2012.0,-1.789999999999992,10.21,10.21,10.85615817159442,10.4585
38,122.23,2012.0,-1.789999999999992,10.8905,10.8905,0.0,10.510166666666665
39,118.66,2012.0,-0.6400000000000006,11.185,11.185,-2.9207232267037586,10.761833333333334
40,103.86,2012.0,0.0100000000000051,12.635000000000002,12.635000000000002,-12.47261082083263,11.570166666666664
41,103.86,2012.0,0.0100000000000051,14.282,14.282,0.0,12.700666666666669
42,105.93,2012.0,-0.6099999999999994,14.7755,14.7755,1.9930675909878737,13.8975
43,113.93,2012.0,1.6500000000000057,15.2055,15.2055,7.552157084867361,14.754333333333337
44,113.93,2012.0,1.6500000000000057,14.1475,14.1475,0.0,14.709499999999998
45,109.89,2012.0,0.4899999999999949,12.0455,12.0455,-3.546037040287897,13.7995
46,110.84,2012.0,0.3700000000000045,10.3035,10.3035,0.8645008645008723,12.1655
47,110.8,2012.0,0.75,10.4125,10.4125,-0.0360880548538444,10.9205
48,115.55,2013.0,0.1299999999999954,9.9955,9.9955,4.287003610108298,10.237166666666669
49,112.2,2013.0,-0.039999999999992,9.963,9.963,-2.899177845088696,10.123666666666669
50,112.2,2013.0,-0.039999999999992,9.8475,9.8475,0.0,9.935333333333332
51,101.53,2013.0,-1.3499999999999943,10.7015,10.7015,-9.509803921568627,10.170666666666667
52,100.43,2013.0,-1.3599999999999994,12.437,12.437,-1.0834236186348822,10.995333333333331
53,100.43,2013.0,-1.3599999999999994,13.8035,13.8035,0.0,12.314
54,107.89,2013.0,0.4200000000000017,14.9005,14.9005,7.428059344817273,13.713666666666668
55,107.89,2013.0,0.4200000000000017,14.8345,14.8345,0.0,14.512833333333331
56,107.85,2013.0,-1.6000000000000083,14.479,14.479,-0.0370747984057895,14.738
57,107.53,2013.0,-0.8799999999999955,12.78,12.78,-0.2967083912841839,14.031166666666666
58,107.53,2013.0,-0.8799999999999955,10.667,10.667,0.0,12.642
59,109.95,2013.0,-0.519999999999996,9.944,9.944,2.250534734492704,11.130333333333333
